월,일,요일,공부량,독서,토탈 집중,수면,시간,수면효율,평가,후기,목표
3월,23일,화,3시간 17분,1시간 2분,4시간 20분,8시간 28분,23:31~07:59,84%,,,
3월,24일,수,2시간 1분,41분,2시간 42분,8시간 9분,23:33~07:42,87%,,,
3월,25일,목,3시간 16분,46분,4시간 2분,7시간 58분,23:39~07:37,88%,,,
3월,26일,금,2시간 54분,3시간 57분,6시간 52분,6시간 50분,00:21~07:11,88%,,,
3월,27일,토,2시간 50분,,2시간 50분,8시간 16분,23:29~07:45,85%,,,
3월,28일,일,2시간 25분,,2시간 25분,8시간 11분,00:51~09:02,85%,,,
3월,29일,월,3시간 10분,,3시간 10분,6시간 29분,00:41~07:10,88%,,,
3월,30일,화,3시간 34분,7분,3시간 41분,7시간 39분,00:09~07:48,84%,,,
3월,31일,수,4시간 34분,,4시간 34분,7시간 29분,23:53~07:22,90%,,,
4월,1일,목,3시간 47분,,3시간 47분,7시간 13분,00:19~07:32,87%,,,
4월,2일,금,4시간 32분,19분,4시간 52분,9시간 20분,23:16~08:35,80%,,,
4월,3일,토,1시간 38분,,1시간 38분,9시간 38분,23:47~09:25,81%,,,
4월,4일,일,1시간 44분,,1시간 44분,7시간 41분,01:57~09:38,81%,,,
4월,5일,월,3시간 28분,,3시간 28분,8시간 5분,00:03~08:08,85%,,,
4월,6일,화,2시간 28분,,2시간 28분,7시간 55분,00:01~07:56,89%,,,
4월,7일,수,4시간 46분,,4시간 46분,7시간 20분,23:50~07:10,88%,,,
4월,8일,목,5시간 30분,,5시간 30분,6시간 20분,00:38~06:58,90%,,,
4월,9일,금,5시간 17분,,5시간 17분,7시간 57분,22:54~06:51,87%,,,
4월,10일,토,4시간 25분,,4시간 25분,6시간 17뷴,00:43~07:00,89%,,,
4월,11일,일,1시간 14분,,1시간 14분,7시간 22분,01:19~08:41,81%,,,
4월,12일,월,5시간 3분,,5시간 3분,7시간 45분,23:32~07:17,84%,,,
4월,13일,화,7시간 29분,,7시간 29분,7시간 34분,23:49~07:23,87%,,,
4월,14일,수,5시간 33분,7분,5시간 40분,6시간 4분,00:45~06:49,89%,,,
4월,15일,목,4시간 48분,,4시간 48분,7시간 5분,23:58~07:03,84%,,,
4월,16일,금,6시간 2분,,6시간 2분,6시간 28분,00:46~07:14,86%,,,
4월,17일,토,36분,,36분,7시간 32분,23:11~06:43,88%,,,
4월,18일,일,4시간 1분,,4시간 1분,8시간 30분,23:34~08:04,82%,,,
4월,19일,월,4시간 37분,,4시간 37분,7시간 34분,23:13~06:47,91%,,,
4월,20일,화,2시간 32분,,2시간 32분,6시간 1분,00:50~06:52,87%,,,
